#numLines,sortedBST_insertionTime,sortedAVL_insertionTime,sortedBST_searchTime,sortedAVL_searchTime,randomBST_insertionTime,randomAVL_insertionTime,randomBST_searchTime,randomAVL_searchTime
20,0.035917,0.015208,0.020042,0.003833,0.020666,0.016208,0.013708,0.003833
40,0.04375,0.038209,0.077542,0.006667,0.02375,0.008458,0.012167,0.003167
60,0.062625,0.0415,0.11575,0.005375,0.037375,0.013,0.0095,0.004333
80,0.149083,0.024417,0.140125,0.007291,0.037459,0.017,0.013875,0.006916
100,0.181167,0.023667,0.149958,0.007875,0.142958,0.025292,0.021375,0.009166
120,0.220166,0.027375,0.183625,0.010916,0.165709,0.0265,0.018209,0.00925
140,0.274833,0.029333,0.22575,0.011625,0.129792,0.028042,0.019208,0.008375
160,0.310583,0.037,0.251667,0.014083,0.142875,0.035583,0.0205,0.009042
180,0.3295,0.043791,0.281292,0.017167,0.184291,0.036084,0.024542,0.010625
200,0.403792,0.038917,0.32025,0.016875,0.181834,0.053042,0.026334,0.012375
202,0.414083,0.03825,0.314417,0.017834,0.18175,0.04175,0.026,0.012
